Driver,Naked_Pace_x,Overdrive_Score,Terrain_Edge,Grid_Position,Sandbag_Delta_x,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,DRS_Active,Naked_Pace_y,Fuel_Tax,Tire_Tax,DRS_Correction,Peak_Potential,Sandbag_Delta_y,Final_Baseline,Dirty_Air_Tax,Slipstream_Delta,chassis_score,power_score,clipping_risk
ALB,82.09599999999999,19.1691167978901,-0.0238704689446652,148.0,46.29610000000001,0 days 00:16:32.516000,23,0 days 00:01:25.791000,2.0,1.0,,,0 days 00:00:17.645000,0 days 00:00:36.640000,0 days 00:00:31.506000,0 days 00:15:24.370000,0 days 00:16:01.010000,0 days 00:16:32.516000,289.0,317.0,217.0,323.0,True,MEDIUM,2.0,True,Williams,0 days 00:15:06.725000,2024-12-06 13:02:48.237,12,,False,,False,True,1,83.24319999999999,3.1878,0.09,0.85,83.24319999999999,0.0,83.22719999999998,2.94398360655738,13.0,1.0115142941737671,1.011273559978862,16.96351544732155
ALB,82.09599999999999,19.1691167978901,-0.0238704689446652,148.0,46.29610000000001,0 days 00:18:45.442000,23,0 days 00:02:12.926000,3.0,1.0,,,0 days 00:00:28.156000,0 days 00:00:52.270000,0 days 00:00:52.500000,0 days 00:17:00.672000,0 days 00:17:52.942000,0 days 00:18:45.442000,184.0,137.0,221.0,221.0,False,MEDIUM,3.0,True,Williams,0 days 00:16:32.516000,2024-12-06 13:04:14.028,1,,False,,False,True,0,129.5393,3.1317000000000004,0.135,0.0,83.24319999999999,46.29610000000001,129.5153,2.94398360655738,13.0,1.0115142941737671,1.011273559978862,16.96351544732155
ALB,82.09599999999999,19.1691167978901,-0.0238704689446652,148.0,46.29610000000001,0 days 00:20:36.680000,23,0 days 00:01:51.238000,4.0,1.0,,0 days 00:20:35.521000,0 days 00:00:17.637000,0 days 00:00:41.701000,0 days 00:00:51.900000,0 days 00:19:03.079000,0 days 00:19:44.780000,0 days 00:20:36.680000,288.0,161.0,,322.0,False,MEDIUM,4.0,True,Williams,0 days 00:18:45.442000,2024-12-06 13:06:26.954,1,,False,,False,False,1,108.7124,3.0756,0.18,0.85,83.24319999999999,25.4692,108.6804,2.94398360655738,13.0,1.0115142941737671,1.011273559978862,16.96351544732155
ALB,82.09599999999999,19.1691167978901,-0.0238704689446652,148.0,46.29610000000001,0 days 00:24:36.010000,23,0 days 00:01:25.307000,6.0,2.0,,,0 days 00:00:17.514000,0 days 00:00:36.583000,0 days 00:00:31.210000,0 days 00:23:28.217000,0 days 00:24:04.800000,0 days 00:24:36.010000,289.0,320.0,218.0,325.0,True,MEDIUM,6.0,False,Williams,0 days 00:23:10.703000,2024-12-06 13:10:52.215,1,,False,,False,True,1,82.8036,2.9634,0.27,0.85,82.8036,0.0,82.7556,2.94398360655738,13.0,1.0115142941737671,1.011273559978862,16.96351544732155
ALB,82.09599999999999,19.1691167978901,-0.0238704689446652,148.0,46.29610000000001,0 days 00:28:58.513000,23,0 days 00:01:45.013000,8.0,2.0,,0 days 00:28:57.360000,0 days 00:00:22.006000,0 days 00:00:42.175000,0 days 00:00:40.832000,0 days 00:27:35.506000,0 days 00:28:17.681000,0 days 00:28:58.513000,251.0,295.0,,294.0,False,MEDIUM,8.0,False,Williams,0 days 00:27:13.500000,2024-12-06 13:14:55.012,1,,False,,False,False,0,101.6818,2.8512000000000004,0.36,0.0,82.8036,18.878199999999996,101.6178,2.94398360655738,13.0,1.0115142941737671,1.011273559978862,16.96351544732155
ALB,82.09599999999999,19.1691167978901,-0.0238704689446652,148.0,46.29610000000001,0 days 00:44:45.481000,23,0 days 00:01:24.269000,10.0,3.0,,,0 days 00:00:17.223000,0 days 00:00:36.299000,0 days 00:00:30.747000,0 days 00:43:38.435000,0 days 00:44:14.734000,0 days 00:44:45.481000,294.0,317.0,219.0,322.0,True,SOFT,2.0,True,Williams,0 days 00:43:21.212000,2024-12-06 13:31:02.724,1,,False,,False,True,1,82.09599999999999,2.7390000000000003,0.164,0.85,82.09599999999999,0.0,82.01599999999999,2.94398360655738,13.0,1.0115142941737671,1.011273559978862,16.96351544732155
ALB,82.09599999999999,19.1691167978901,-0.0238704689446652,148.0,46.29610000000001,0 days 00:46:39.633000,23,0 days 00:01:54.152000,11.0,3.0,,0 days 00:46:38.460000,0 days 00:00:23.753000,0 days 00:00:46.150000,0 days 00:00:44.249000,0 days 00:45:09.234000,0 days 00:45:55.384000,0 days 00:46:39.633000,243.0,218.0,,260.0,False,SOFT,3.0,True,Williams,0 days 00:44:45.481000,2024-12-06 13:32:26.993,1,,False,,False,False,0,111.1031,2.6829,0.246,0.0,82.09599999999999,29.00710000000001,111.0151,2.94398360655738,13.0,1.0115142941737671,1.011273559978862,16.96351544732155
ALB,82.09599999999999,19.1691167978901,-0.0238704689446652,148.0,46.29610000000001,0 days 00:55:56.750000,23,0 days 00:01:51.585000,13.0,5.0,0 days 00:54:26.157000,,0 days 00:00:38.872000,0 days 00:00:39.295000,0 days 00:00:33.418000,0 days 00:54:44.037000,0 days 00:55:23.332000,0 days 00:55:56.750000,284.0,276.0,210.0,293.0,False,MEDIUM,9.0,False,Williams,0 days 00:54:05.165000,2024-12-06 13:41:46.677,1,,False,,False,False,0,108.4893,2.5707000000000004,0.4049999999999999,0.0,82.09599999999999,26.3933,108.3853,2.94398360655738,13.0,1.0115142941737671,1.011273559978862,16.96351544732155
ALB,82.09599999999999,19.1691167978901,-0.0238704689446652,148.0,46.29610000000001,0 days 01:07:31.787000,23,0 days 00:01:29.168000,16.0,6.0,,,0 days 00:00:18.069000,0 days 00:00:38.421000,0 days 00:00:32.678000,0 days 01:06:20.688000,0 days 01:06:59.109000,0 days 01:07:31.787000,285.0,294.0,207.0,300.0,False,SOFT,2.0,False,Williams,0 days 01:06:02.619000,2024-12-06 13:53:44.131,1,,False,,False,True,0,86.4816,2.4024,0.164,0.0,86.4816,0.0,86.3536,2.94398360655738,13.0,1.0115142941737671,1.011273559978862,16.96351544732155
ALB,82.09599999999999,19.1691167978901,-0.0238704689446652,148.0,46.29610000000001,0 days 01:09:01.971000,23,0 days 00:01:30.184000,17.0,6.0,,,0 days 00:00:18.201000,0 days 00:00:38.883000,0 days 00:00:33.100000,0 days 01:07:49.988000,0 days 01:08:28.871000,0 days 01:09:01.971000,284.0,287.0,207.0,292.0,False,SOFT,3.0,False,Williams,0 days 01:07:31.787000,2024-12-06 13:55:13.299,1,,False,,False,True,0,87.4717,2.3463,0.246,0.0,86.4816,0.9900999999999982,87.3357,2.94398360655738,13.0,1.0115142941737671,1.011273559978862,16.96351544732155
